Date exported;Status;Employee number (salary administration);Branch;Hour Code;Journey date;Journey Distance;Distance Unit of Measure;Mobility type;Travel route;Fuel type
45510;Exported;00000477;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;64;km;Public Transport;Home <> Client;
45510;Exported;00000477;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45509;64;km;Public Transport;Home <> Client;
45510;Exported;00000735;VANL;VANL - Alliander - Energie Planologie Gemeenten - Alliander Investment;45505;4;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000735;VANL;VANL - Alliander - Energie Planologie Gemeenten - Alliander Investment;45505;4;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000727;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45503;90;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000727;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45503;90;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000727;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45502;90;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000727;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45502;90;km;Personal Car;Home <> Client;Petrol
45510;Exported;00000833;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45506;34;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000833;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45506;34;km;Personal Car;Home <> Valcon Office;Petrol
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45506;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45506;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45505;25;km;Public Transport;Home <> Client;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45505;25;km;Public Transport;Home <> Client;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45504;25;km;Public Transport;Home <> Client;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45504;25;km;Public Transport;Home <> Client;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45502;25;km;Public Transport;Home <> Client;
45510;Exported;00000728;VANL;VANL - BAM - Schiphol - BAM Hourly;45502;25;km;Public Transport;Home <> Client;
45510;Exported;00000769;VANL;VANL - Gemeente Amsterdam - ReOrganisatie VTH - Gemeente Amsterdam Fixed price;45503;2;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000769;VANL;VANL - Gemeente Amsterdam - ReOrganisatie VTH - Gemeente Amsterdam Fixed price;45503;2;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000769;VANL;VANL - Gemeente Amsterdam - ReOrganisatie VTH - Gemeente Amsterdam Fixed price;45505;2;km;Bicycle or Walking;Home <> Client;
